ticket_id,text,category,priority
TKT-0001,My application keeps crashing every time I try to open it. Thank you for your help.,Technical Issue,Medium
TKT-0002,I need to update my payment method on file. Could you help?,Billing Issue,Medium
TKT-0003,The website shows a 404 error on multiple pages. Thanks!,Technical Issue,High
TKT-0004,The app crashes immediately on startup with a fatal error. Please advise.,Technical Issue,High
TKT-0005,Payment gateway keeps rejecting my valid credit card. Please advise.,Billing Issue,Medium
TKT-0006,What integrations are available with other tools? Appreciate your support.,General Inquiry,Low
TKT-0007,The calendar sync is broken between devices. Could you help?,Technical Issue,High
TKT-0008,Are there any upcoming features on the product roadmap? Thank you for your help.,General Inquiry,Low
TKT-0009,This is critical — Someone may have hacked into my account without permission. Please advise.,Account Access,High
TKT-0010,My account has been locked after multiple failed attempts. Please advise.,Account Access,High
TKT-0011,Emergency! Video calls keep dropping after a few minutes.,Technical Issue,Medium
TKT-0012,Please help immediately! My account profile information cannot be updated.,Account Access,High
TKT-0013,I cannot access my account even with correct credentials.,Account Access,Medium
TKT-0014,Video calls keep dropping after a few minutes. Could you help?,Technical Issue,Medium
TKT-0015,The verification email was never delivered to my inbox. Thank you for your help.,Account Access,Medium
TKT-0016,Multi-device login limit is preventing me from working. Could you help?,Account Access,Medium
TKT-0017,Performance has degraded significantly since the last patch. Please advise.,Technical Issue,Medium
TKT-0018,Why was I charged after I cancelled my subscription? Appreciate your support.,Billing Issue,Medium
TKT-0019,Charged for additional users that were never added.,Billing Issue,Medium
TKT-0020,Screen goes blank when I try to upload a file.,Technical Issue,Medium
TKT-0021,I'm locked out of my admin panel completely. Thank you for your help.,Account Access,High
TKT-0022,My account was suspended without any prior notice. Looking forward to your response.,Account Access,High
TKT-0023,Is there a student or educational discount available? Thank you for your help.,General Inquiry,Low
TKT-0024,Account deactivated even though I am an active subscriber. Please advise.,Account Access,Medium
TKT-0025,How do I provide feedback or suggest a feature? Please advise.,General Inquiry,Low
TKT-0026,Can you provide more information about your enterprise plan?,General Inquiry,Low
TKT-0027,I cannot install the latest version on my computer.,Technical Issue,Medium
TKT-0028,I need this resolved ASAP. Is there an API available for custom integrations? Please advise.,General Inquiry,Low
TKT-0029,I need to merge two duplicate accounts into one. Thanks!,Account Access,Medium
TKT-0030,Plugin compatibility issue after upgrading the platform.,Technical Issue,Medium
TKT-0031,Cannot add team members to my organization account. Thanks!,Account Access,Medium
TKT-0032,This is critical — Password reset token has expired before I could use it. Please advise.,Account Access,High
TKT-0033,I need to dispute a charge that appears on my statement.,Billing Issue,Medium
TKT-0034,OAuth login with Google keeps failing with an error. Thank you for your help.,Account Access,High
TKT-0035,Can I get a receipt for my recent payment? Please advise.,Billing Issue,Medium
TKT-0036,Performance has degraded significantly since the last patch. Thanks!,Technical Issue,Medium
TKT-0037,The search feature returns no results even for valid queries.,Technical Issue,Medium
TKT-0038,I want to enable two-factor authentication on my account. Thanks!,Account Access,Medium
TKT-0039,File upload fails with a network error message. Thanks!,Technical Issue,High
TKT-0040,I need to update my payment method on file. Please advise.,Billing Issue,Medium
TKT-0041,My free trial ended early and I was charged immediately. Please advise.,Billing Issue,High
TKT-0042,Do you offer a free trial before committing to a plan?,General Inquiry,Low
TKT-0043,Payment gateway keeps rejecting my valid credit card. Could you help?,Billing Issue,Medium
TKT-0044,My account permissions were changed without my knowledge. Looking forward to your response.,Account Access,Medium
TKT-0045,Emergency! Screen goes blank when I try to upload a file. Please advise.,Technical Issue,Medium
TKT-0046,URGENT: Refund has not been processed after 14 business days. Thank you for your help.,Billing Issue,High
TKT-0047,The software is not working after the latest update. Thanks!,Technical Issue,High
TKT-0048,My free trial ended early and I was charged immediately. Thank you for your help.,Billing Issue,High
TKT-0049,I need to split my invoice for different departments. Please advise.,Billing Issue,Medium
TKT-0050,What integrations are available with other tools?,General Inquiry,Low
TKT-0051,Do you offer a free trial before committing to a plan? Appreciate your support.,General Inquiry,Low
TKT-0052,Is there a mobile application available for download? Could you help?,General Inquiry,Low
TKT-0053,Plugin compatibility issue after upgrading the platform. Could you help?,Technical Issue,Medium
TKT-0054,The software is not working after the latest update. Appreciate your support.,Technical Issue,High
TKT-0055,Please help immediately! Screen goes blank when I try to upload a file. Looking forward to your response.,Technical Issue,High
TKT-0056,My free trial ended early and I was charged immediately.,Billing Issue,High
TKT-0057,I'm experiencing frequent timeout errors on the server.,Technical Issue,High
TKT-0058,The software is not working after the latest update. Please advise.,Technical Issue,High
TKT-0059,I'm getting an error message when I try to log in.,Technical Issue,High
TKT-0060,Why was I charged after I cancelled my subscription? Looking forward to your response.,Billing Issue,Medium
TKT-0061,I was charged for a premium feature I never activated. Thank you for your help.,Billing Issue,Medium
TKT-0062,What are the available subscription plans and pricing? Appreciate your support.,General Inquiry,Low
TKT-0063,What is your data privacy and security policy? Could you help?,General Inquiry,Low
TKT-0064,URGENT: Is there a student or educational discount available? Please advise.,General Inquiry,High
TKT-0065,File upload fails with a network error message. Thanks!,Technical Issue,High
TKT-0066,Do you have documentation or tutorials for beginners? Please advise.,General Inquiry,Low
TKT-0067,My payment failed but the amount was deducted from my account. Thanks!,Billing Issue,High
TKT-0068,I want a refund for the service I did not use. Could you help?,Billing Issue,Medium
TKT-0069,I was charged for a premium feature I never activated. Thank you for your help.,Billing Issue,Medium
TKT-0070,Performance has degraded significantly since the last patch. Please advise.,Technical Issue,Medium
TKT-0071,I cannot log in from my new device. Thank you for your help.,Account Access,Medium
TKT-0072,I'm locked out of my admin panel completely. Looking forward to your response.,Account Access,High
TKT-0073,Cannot add team members to my organization account. Thanks!,Account Access,Medium
TKT-0074,Is there an API available for custom integrations? Thanks!,General Inquiry,Low
TKT-0075,"This is critical — Cannot connect to the database, getting connection refused error. Thanks!",Technical Issue,High
